today,date,title,company,location,summary,salary,URL
05月-16日,3日前,【Python】時系列データ異常検知システム開発,レバテックフリーランス,千代田区 秋葉原駅,"【
Python】時系列データ異常検知システム開発の求人・案件... ョン]:SE(システムエンジニア) [職務内容]: ・
Pythonを用いた時系列データ異常検知システム開発に携わってい...",月給 85万円,https://jp.indeed.com//pagead/clk?mo=r&ad=-6NYlbfkN0AsTlSaBqJOVEvYo1DpewtHiEmmnrAmP1pObe0IvdYJyyUWudNYaj0RAulzpyA8a_kA58bibBVLPvOjbZqEmOpFzdAZDGMbdQiuWIjQp770S3SHoLxL4gDlhmSSVz0ICAvWZwv2qQTuEQ0lzk3dBaHagDY6QC18LnApZiq1tSoCZL1N0WL_3Zc9j4iLgLymvToCNWGQjdm7Ax6wCUqDOtmvnkha8zwPsFJPhlU024e6xdiNB0N8QY9U75j-yYy5DL0gqevcLctbhDhqHzIqgpTVex7HkZEMAgViLbIFEIGysK9plIHNFTxHkK0IRZHvpXIN2C6T7zhi9RSdYdpMQAYRRac0oKuWYNbJ0amdNp3KU0tub_W37r429NZSxLgKFlpiPnoFhtxQgHLRHCvAXRvBwlpEMW_8hdJmDw4jh2roQucTXOT1yDvKfiFhO0j5RU1CaX-dJetYuXXdEDptYpipc_FWTEJi0za-YSJ4j-YzWpe-yZydMol7ybavjX-W9mo=&p=0&fvj=1&vjs=3
05月-16日,6日前,【Python】ジャーナリングアプリ改善,レバテックフリーランス,渋谷区 恵比寿,"【
Python】ジャーナリングアプリ改善の求人・案件... 要件を考慮したアーキテクチャの定義、設計、構築経験 ・
Python等を用いたクラウドサービス上でのAPIサーバー実装経験...",月給 85万円,https://jp.indeed.com//pagead/clk?mo=r&ad=-6NYlbfkN0AsTlSaBqJOVEvYo1DpewtHiEmmnrAmP1pObe0IvdYJyyUWudNYaj0RAulzpyA8a_kvPV30XS8GewtLiqgv2iBxQzp_VDR4y-bR3rqhrgbU3CXTVRYdBvsiqqHPE1r51H7U1SPmeyTUPWmBPHxSKuXAH9kVxYAYfM6QVCvYVJ5vxzSwpCkFbqvyN2JI2IqLSgKcOGWLbAlZ3GkkjXSpFk0GVc9i1feBPKKGRsHLVuW8StN94O0HEmvpZmZOkodybceDJaXH6IiItRdWSbtqFaiqJ4OFZGLBMra3SbDtxF8ZOI8722hXJQLBnyMvI4mY1oaGUODrs2HtXIEZJS6ZYoSTNvRFyHYlMhXEeVdkT07XsSIwze8YcJ11TywtGQIVNoRS3R9krqp9PA07mjXL-PPpNdbOmQPYjsy4zwOCu1UIOJ5LKkrP9lS4R2hiNkEGGTroWEXSnWUUB_e9GGtzfbowwyXJmMiIyzIgFov8JpLrpIK_J0D96iFDNmTtn0gIKrU=&p=1&fvj=1&vjs=3
05月-16日,30日前,Pythonエンジニア,株式会社エーエスエル,中央区 勝どき,"募集職種】
Pythonエンジニア（システムエンジニア、SE） 大手または中堅SIerに常駐する作業形態が多数ですが、弊社では
Pythonを利用した社内開発も行っております。「上流工...",月給 35万円,https://jp.indeed.com//pagead/clk?mo=r&ad=-6NYlbfkN0BopKPkTnJsfCkqeKWcQHMmEbWARY7i5QGJGTTOKjw0IWvya63lh2TnYh12if1HRRihG7GiP7ktBaYWogxHu8AYMvaYQfnojo8PsKLc7PFWaGoIlQCulOjMnyN5f3oSzb6HR3VOyVfnwlOHaSaAbLuNSmjeYr-rNvtzV5sqhlMgWeEWNXyh3jYPuZK6wAehp-m_w2Y3AMxHOsp47pGykPro18GasJYEhnQOzjmxPdRtjGVyOtqYjShH6yeRiYuEUtYj-IuEjpVChVPOj8aZKeLrq8E34ibqK6YIA7N0HvN2_anZ2xEBlI5j3YrVmpUVCxrhAHl2YGQXcpqyrwL3dHz8T7_BMjlTs6_DY6eoZyAjfcgN32F5oAHqwDafPbb3EGH0HgD5k5535-_yDGC8Fdo3wQBmvSi0rVuPqmGr4hgjfg==&p=2&fvj=0&vjs=3
05月-16日,1日前,【Python】SaaSプロトタイプ開発,レバテックフリーランス,港区 白金台,"【
Python】SaaSプロトタイプ開発の求人・案件... GCP、AWSいずれかのクラウド上での開発経験 ・
Pythonを用いた開発経験2年以上 [歓迎スキル]: ・ML/数理...",月給 85万円,https://jp.indeed.com//pagead/clk?mo=r&ad=-6NYlbfkN0AsTlSaBqJOVEvYo1DpewtHiEmmnrAmP1pObe0IvdYJyyUWudNYaj0RAulzpyA8a_mEMup0zBrlRuqKLeGfO-pj_Xe2cSb2nFQr5ZgFmUQqbISOwxlTh6KI2PpC4OvBRlDJVu4JidIOWi7Y99Hd-YW-3mT07bIyvKZybWRTmDW85b6Cn5hDjw94OF7iI50GGuCjrL7sm5AxVQaoJiKMzoQxihiLPKuaf9QZZnteLsRDtVdviLxIlUar5A0WUPmS3GGuQAo_MLrBwR_eMXx0vpoTdwpe6PPdgEfii5_0WVRahfLohh6RVFNOhOvSSHf64eL2Nwn-NguLSsO-ToDcNSTkd2l_zb6xvULVWE20DAa6wz6Wx-6ekqpoMyYifXprO151RtsXpveSTnkwMdZzAdTR6bgtYUatxnpD9JLiP0eEcIMGL-VqBMr1Oaty0dAiYnJvxsUGjdt1BAD4dhSuHenwruRrQyVPWFkWjzHXKyRliATcqHOTfO1G&p=3&fvj=1&vjs=3
05月-16日,6日前,【Python】AIチャットボット開発,レバテックフリーランス,中央区 八丁堀,"【
Python】AIチャットボット開発の求人・案件 [単価... っています。 [求めるスキル]: ・上流~下流工程の経験 ・
Pythonでの開発経験5年以上 ・AI関連の開発業務経験...",月給 70万円,https://jp.indeed.com//pagead/clk?mo=r&ad=-6NYlbfkN0AsTlSaBqJOVEvYo1DpewtHiEmmnrAmP1pObe0IvdYJyyUWudNYaj0RAulzpyA8a_kvPV30XS8Ge91Zf9WdbrXZMX3SsxeA0rF4Wprv1djbGLO3ItlIwaOIW7okPr38QHBFKeCSNmA0m8e1zeYJwgOgiyxkzu7dbG-ABYGmW-MxauPVauZAVIl4b1lpIv737IShl28VxJwXx-XageqpjMCd64XCCMW7ugIrW1-SJ3ilA_su0ShCGPoL0cy5x7e-nexh7Lhwq_LUgX_zScfXGpcVtSIOtNA8WW05akUeUuRNZO0QpwRRdn4X7EK7nZuW5F_y_LvNSODjhSP8tuU9R6mqHKJkuBzzw0dRhMHhgD1312OAjNB8BeOYe3mGX53tP9MXh6bi75xDvysAMnJ-JOomPRqWGdcWdPzK_OWAGzReGf1Bi94zXxnrcQ6AfqlkRHDSatcxu_svbG9APaXAnkzD6XVgUWh9h_rSkgDZQWi-bqIIkE6jc48egaqn2heRwbE=&p=4&fvj=1&vjs=3
05月-16日,30日前,業務委託/【Python】物体検知、物体認識などの画像系のAI開発,アイムファクトリー株式会社,中央区 月島,"ります（プロトタイプ、本開発など） 必須スキル ・
Python経験者 ・OpenCV等の画像処理系の経験者 歓迎ス... 環境/体制 使用技術 
Python 募集職種・ポジション...",月給 70万円,https://jp.indeed.com//pagead/clk?mo=r&ad=-6NYlbfkN0DPUTqQdB9fc7sK-B4aU8txDpS6lnRdIZoJqm5LcqWM_PeUbFOb913yCySFmppcSAZOjbRcFMbU-aGkm_RpmqE5wiwNezLi9g_5XaU4kbuqPDnrfRDujj1tYJzRDewrBKqkoh-Cosf6MVjw1nzgGg2qjdzt-LpzHDaV9Gkitt3avy16KN90LRh8A6CYuQXkNI-UQmgDaGb_61xTPscc_RSIRHdIZZNxTa1K9D3sbOxac7YG4Ddg5VMBIoQpJcX94Rn3y8t_zwvjoNrlCtWMfoZ-cBqEpSnniO4UabF-_5EXRq0QbxWCWdVCMB-4cu-z-9Oj58YwCxhInARcZjg_TwAHO_gvTTTfxsSHIE8wh1yqQiBoY3hX71zikuK8ZWEXN-Q5CG5YJMmiLLL4HTWqd2N-t5PU-LaONJn_tQgfzBittBV6SDIkkLuuUmHKdmZCzTEbH5ib5ZLw57p5KM6VyGnbao7bqnCuDcqQUEfw_ThzbSaI-_Ylm1wIFHubQNegXq-xKJu3qBottyl_Z56nMgNAWDYwPqq_YoRT_wW7mBH4TtrqJROqaerNfaMdTB3dZiEGqS3gwSYW9grjyvB7Dxsmv0gpK2Cn3uz5DXMBwDFOvMtzNUHrUQ50-gz_zLny6vNZ_wrk0z_BLRypRpNCs8a3&p=5&fvj=0&vjs=3
05月-16日,13日前,Pythonエンジニア,セレンディップ・テクノロジーズ株式会社,港区 品川駅,"よび運用業務 ・【
Python/C++】AI開発に関わる画像認識モデルの基礎技術開発 ・【
Python】セキュリティサービス基盤システム開発 ・【
Python/TensorFlow...",月給 21万円,https://jp.indeed.com//pagead/clk?mo=r&ad=-6NYlbfkN0Bv0rwjszuMJXMP4QPwNF5WgjSzb4CuEqncKoPJbgj-QiwnO3NoAXWsdTEJq2UuUTmMVrPRgpFJDRj_I09aT0Q4kEWhIZLQuHssu86DxLAoIc5ugbnwopm5OdvERMlXRGS_2r3AkfB4lMb9vnKwZbrZ91RpUZvKwfsStizdkYIIIQUeJDfZVVn6MOGUS_fyTAKZidGDrVMfK2j-ahpzEhngqkTNpIime6DJKhyw1RbQ--oCgB0UTc8TS5UmWMNEH7QkGvvZWeuQzk2AYyHmbD2sjujVm_4rvvQqO8zftitspYCEm1hUmqoAvvWIYVqJlrl6lh3Wp_3meml2esy4TEPwMzpZeIXyIlfDX42wvNNlKjRwl-SmkPG5NWEqRWR7tMP5YjmHuwnufltck0MBy8JSXXEtqvEesiS_7yrqbrX38VrtqUz5BolaoVDYLIdtze3NlpbOmD1eSXQe1Lls4c75Csk-Qa_IlwVXkSek2E-udEPcX5M8ISCWmWAdMO64nH9ebVaDgUz-MbiH2V-M_uWDVVKhy1giAvheGlKcDauPvZvIv25fBd_WgFFePEuJoKPpSf0hpG6-281MsXEVKk7vMIL_fdkgNUrSoNZgp3cYleoulDC7AcDcxfyjoSfh_tTYlkrMHarOF95oYa_Myxe917vKQYs-jvi8llMsVZyuH-1aYPa_dsEO&p=6&fvj=0&vjs=3
05月-16日,30日前,ITエンジニア【Java/Python/PHP】(経験者歓迎),株式会社オフグリッド,中央区 日本橋人形町,"仕事内容及びアピールポイント: 開発したAIチャットボットの開発(
Python、node.js) また、AIチャットボットと基幹システムを連携する案件にも関わっております...",年収 264万 ~ 960万円,https://jp.indeed.com//pagead/clk?mo=r&ad=-6NYlbfkN0COVoesSiiu_8BQBE1pk7twu6zV14IAgafVcfNc93fsiG1tpn3FZB03Z1sSieDvREP8cgRG4ziacsPpDjim7Pd-5QVMfwAlnsDALOBv1tzC_I9SGTObP6RNrO125_jV01ndbzglXNCO9QhrnR82jMMfikzZgV81dpLYvIfVBaU4-TzL0C2ooW4-M_RzKQRqxoRNGJAf8FbDih3STSnpnpoElew1nVbbbDSQCbQ3aRImdZjKSu_esW5xJMDrqWfuTUyQKQ1LRPvaxp99rUF-PTTy_FElZx8lAFBsU66f0OE09nUCw1ega5vAp-nuB6XUv8wrbdMKJdIlPicmBKL4ZucRmf3k8Iic2HJSpq0ViPVpeFdAHamhAQucwHnrjYsdm2Z603zTZPzZcrZP6SLW4_SYpLOQwnVrUBM1gXFpZaOdfcxkKnPlnSa2IHehRwWNjDH4bhuJ7N1dyTwGZTOecMJDD7QYlhpmkWQboooOTlU50LNh4g5IILGusZMM33BKRfpSV8zeQtedHZckwZ3ywGCYoNNl1xlJ5u0yDDS32F_7o4bPSVaZJ8ykH9fEus-yx0gR3CV28ccXzUBipKn7uzXa1njNgcCXq5FxAaXbNTmvzCbMgygsF4IwwjIY9bsRR9I7H3YDAjc8SA==&p=7&fvj=1&vjs=3
05月-16日,本日掲載,【Python】製造業向けAI画像処理アプリケーション開発,レバテックフリーランス,中央区 八丁堀,"【
Python】製造業向けAI画像処理アプリケーション開発の... 計以降をご担当いただきます。 [求めるスキル]: ・
Pythonを用いた開発経験2年以上 ・機械学習もしくは深層学習に...",月給 85万円,https://jp.indeed.com//pagead/clk?mo=r&ad=-6NYlbfkN0AsTlSaBqJOVEvYo1DpewtHiEmmnrAmP1pObe0IvdYJyyUWudNYaj0RAulzpyA8a_mH7YSroolgh4OA3er6VztgguKVHdXPQqw8C0uE96_zO_veFTWi3kurizOPU0YPmYMyjDeBDoQ4tRwMnwO9ZAOV882lp7lFMqe_rNjxcWbDl_4xTCG95a2fSWlbVk6d_yAZulWkuWkxy-gmVz_GccEiLGI-N7w1e7rGTJ6PhKFWC2lEPtSNKXVqfN_CSqGvQRga36i5D2ehOJM256kESY5fAGxSW_soENg4FFPlk4EnogbtFU8jYnVrakMwzeyK-okYzfujzfgMG8d5kjWvBuF_OMX4bSnYBPicqUrYonx82lAR_KjjesjcIn0ufOx9vMdfFue2hstJGkQ7QcLun52WjYdTT6YTqNET19_zhykLIdVUnH6l2LFq-uTA_NSqPv2KsccwHDiyDUFqnmzhwN1OG0-K2v8dC0cHYPWQEZX1tQKeWZpspQerpa7CIa5cWN0=&p=8&fvj=1&vjs=3
05月-16日,1日前,【Python】デジタルコクピットソフトウェア開発CI/CD,レバテックフリーランス,千代田区 大手町,"【
Python】デジタルコクピットソフトウェア開発CI/CD... 進捗状況により変動いたします。 [求めるスキル]: ・
Pythonの実務経験 ・CI/CDの環境構築や自動化の実務経験...",月給 85万円,https://jp.indeed.com//pagead/clk?mo=r&ad=-6NYlbfkN0AsTlSaBqJOVEvYo1DpewtHiEmmnrAmP1pObe0IvdYJyyUWudNYaj0RAulzpyA8a_mEMup0zBrlRgcMmaEQYyooBrw9cKsG-HLmRQGjfrLFS-VdFC7DMbXF-R5bvmuzj0NjmeRsSxwERvaH6VwjvLfqh_5qC1WcFWMNsDR67nGwq74PZe7SF3qQVnpcekIjNSyfUDXuq389wz3ZC8KRHdwt-gcA1ed8aK9rOLh49BSJiyOcIzxGpCq4FTnlDqqy-40nYJ5rgwwE6IyTeIY9VebOTwje--ahLp3vjK79Sg3UR5nOlEF1dZiVeat-edAbzzaynxdvsUoBJyBX6-_b-XWCPvPRu40Jhz1Yhik0TLY2OmH5SbNOY3FPieEAXzUEmygMCY4TvbCnssj28DFncniTLSzq5lJYbNfN_1XoT5j2M6on7GIZTVqMv9o1FzF3DMSehyCotu2_cCqZ-QMQMlGHMnMHKp3b5p3iDaXxXzPwGQDBK-R-cfy-IWGpLTc5s_g=&p=9&fvj=1&vjs=3
